datetime,price,quantity,venue
2020-07-01 06:53:03:255,363,50,ARCX
2020-07-01 06:53:03:255,363,49,ARCX
2020-07-01 06:53:03:255,363,1,ARCX
2020-07-01 06:53:03:461,363,50,ARCX
2020-07-01 06:53:03:461,363,100,ARCX
2020-07-01 06:53:03:461,363,21,ARCX
2020-07-01 06:53:12:130,362.88,50,ARCX
2020-07-01 06:53:17:879,362.88,50,ARCX
2020-07-01 06:53:28:738,362.91,1,XNGS
2020-07-01 06:55:00:879,362.81,1,XNGS
2020-07-01 06:55:30:252,362.71,1,XNGS
2020-07-01 06:55:30:252,362.6,4,XNGS
2020-07-01 06:57:16:416,362.83,100,ARCX
2020-07-01 06:57:16:423,362.62,10,XNGS
2020-07-01 06:57:21:295,362.83,100,ARCX
2020-07-01 06:57:22:187,362.83,100,ARCX
2020-07-01 06:57:22:927,362.83,100,ARCX
2020-07-01 06:57:23:485,362.83,100,ARCX
2020-07-01 06:57:24:587,362.83,100,ARCX
2020-07-01 06:57:24:587,362.83,500,ARCX
2020-07-01 06:59:40:315,362.83,100,ARCX
2020-07-01 06:59:52:387,362.83,100,ARCX
2020-07-01 06:59:52:387,362.83,100,ARCX
2020-07-01 06:59:52:410,362.84,1,ARCX
2020-07-01 07:00:00:034,362.91,1,XNGS
2020-07-01 07:00:00:034,363.02,15,XNGS
2020-07-01 07:00:00:034,363.02,27,XNGS
2020-07-01 07:00:00:035,363.02,15,ARCX
2020-07-01 07:00:00:035,363.02,16,ARCX
2020-07-01 07:00:00:035,363.03,9,ARCX
2020-07-01 07:00:00:038,363.06,50,ARCX
2020-07-01 07:00:00:039,363.06,5,ARCX
2020-07-01 07:00:00:040,363.06,45,ARCX
2020-07-01 07:00:00:040,363.06,68,ARCX
2020-07-01 07:00:00:040,363.06,32,ARCX
2020-07-01 07:00:00:040,363.06,100,ARCX
2020-07-01 07:00:00:040,363.1,9,ARCX
2020-07-01 07:00:00:040,363.1,8,ARCX
2020-07-01 07:00:00:041,363.1,83,ARCX
2020-07-01 07:00:00:041,363.1,81,ARCX
2020-07-01 07:00:00:041,363.1,19,ARCX
2020-07-01 07:00:00:041,363.1,11,ARCX
2020-07-01 07:00:00:041,363.1,20,ARCX
2020-07-01 07:00:00:042,363.1,10,ARCX
2020-07-01 07:00:00:043,363.1,1,ARCX
2020-07-01 07:00:00:043,363.01,1,EDGX
2020-07-01 07:00:00:043,363.01,4,EDGX
2020-07-01 07:00:00:043,363,30,EDGX
2020-07-01 07:00:00:043,363,2,EDGX
2020-07-01 07:00:00:043,362.88,5,EDGX
2020-07-01 07:00:00:043,363.1,5,ARCX
2020-07-01 07:00:00:043,362.83,6,EDGX
2020-07-01 07:00:00:044,363.1,3,ARCX
2020-07-01 07:00:00:044,363.1,3,ARCX
2020-07-01 07:00:00:257,362.83,16,EDGX
2020-07-01 07:00:04:449,362.83,1,EDGX
2020-07-01 07:00:04:510,362.81,1,XNGS
2020-07-01 07:00:15:424,362.83,22,EDGX
2020-07-01 07:00:18:721,362.91,1,XNGS
2020-07-01 07:00:18:721,363,1,ARCX
2020-07-01 07:00:18:810,363,49,ARCX
2020-07-01 07:00:19:274,363,50,ARCX
2020-07-01 07:00:19:676,363,5,ARCX
2020-07-01 07:00:22:034,363,78,ARCX
2020-07-01 07:00:22:034,363,122,ARCX
2020-07-01 07:00:23:301,363,78,ARCX
2020-07-01 07:00:23:301,363,10,ARCX
2020-07-01 07:00:23:515,363,12,ARCX
2020-07-01 07:00:25:582,363.04,88,ARCX
2020-07-01 07:00:26:642,362.82,11,EDGX
2020-07-01 07:00:29:226,363,4,XNGS
2020-07-01 07:00:33:789,362.98,14,ARCX
2020-07-01 07:00:35:015,362.98,100,EDGX
2020-07-01 07:00:35:995,362.98,20,EDGX
2020-07-01 07:00:36:313,362.98,300,EDGX
2020-07-01 07:00:37:344,362.98,30,EDGX
2020-07-01 07:00:42:678,362.95,100,XNGS
2020-07-01 07:00:42:678,362.97,100,XNGS
2020-07-01 07:00:42:678,363.01,1,XNGS
2020-07-01 07:00:42:679,362.98,36,ARCX
2020-07-01 07:00:42:679,363.1,47,ARCX
2020-07-01 07:00:42:679,363.1,100,ARCX
2020-07-01 07:00:42:679,363.1,1000,ARCX
2020-07-01 07:00:42:679,363.08,116,EDGX
2020-07-01 07:00:48:072,363.11,110,ARCX
2020-07-01 07:00:48:072,363.1,90,ARCX
